.\.lovable\scratch\audit_rules.go|27|return without blank line|return nil
.\.lovable\scratch\audit_rules.go|32|return without blank line|return nil
.\.lovable\scratch\audit_rules.go|36|return without blank line|return nil
.\.lovable\scratch\audit_rules.go|41|return without blank line|return nil
.\.lovable\scratch\audit_rules.go|11|monolithic function|length 96
.\.lovable\scratch\find_ignored_errs.go|19|return without blank line|return err
.\.lovable\scratch\find_ignored_errs.go|22|return without blank line|return nil
.\.lovable\scratch\find_ignored_errs.go|27|return without blank line|return nil
.\.lovable\scratch\find_ignored_errs.go|58|return without blank line|return true
.\.lovable\scratch\find_ignored_errs.go|60|return without blank line|return nil
.\.lovable\scratch\find_ignored_errs.go|13|monolithic function|length 53
.\.lovable\scratch\find_monolithic.go|19|return without blank line|return err
.\.lovable\scratch\find_monolithic.go|22|return without blank line|return nil
.\.lovable\scratch\find_monolithic.go|27|return without blank line|return nil
.\.lovable\scratch\find_monolithic.go|39|return without blank line|return true
.\.lovable\scratch\find_monolithic.go|41|return without blank line|return nil
.\.lovable\scratch\find_monolithic.go|13|monolithic function|length 34
.\.lovable\scratch\find_nested_ifs.go|19|return without blank line|return err
.\.lovable\scratch\find_nested_ifs.go|22|return without blank line|return nil
.\.lovable\scratch\find_nested_ifs.go|27|return without blank line|return nil // ignore parse errors
.\.lovable\scratch\find_nested_ifs.go|44|return without blank line|return true
.\.lovable\scratch\find_nested_ifs.go|49|return without blank line|return false
.\.lovable\scratch\find_nested_ifs.go|51|return without blank line|return true
.\.lovable\scratch\find_nested_ifs.go|64|return without blank line|return false
.\.lovable\scratch\find_nested_ifs.go|67|return without blank line|return true
.\.lovable\scratch\find_nested_ifs.go|70|return without blank line|return false
.\.lovable\scratch\find_nested_ifs.go|72|return without blank line|return true
.\.lovable\scratch\find_nested_ifs.go|77|return without blank line|return true
.\.lovable\scratch\find_nested_ifs.go|13|monolithic function|length 73
.\.lovable\scratch\find_single_chars.go|19|return without blank line|return err
.\.lovable\scratch\find_single_chars.go|22|return without blank line|return nil
.\.lovable\scratch\find_single_chars.go|27|return without blank line|return nil
.\.lovable\scratch\find_single_chars.go|73|return without blank line|return true
.\.lovable\scratch\find_single_chars.go|75|return without blank line|return nil
.\.lovable\scratch\find_single_chars.go|13|monolithic function|length 68
.\gitmap\apperror\apperror.go|19|return without blank line|return fmt.Sprintf("[%s] %s (ctx: %v): %v", e.Code, e.Op, e.Ctx, e.Cause)
.\gitmap\apperror\apperror.go|21|return without blank line|return fmt.Sprintf("[%s] %s (ctx: %v)", e.Code, e.Op, e.Ctx)
.\gitmap\apperror\apperror.go|26|return without blank line|return e.Cause
.\gitmap\apperror\apperror.go|31|return without blank line|return &AppError{
.\gitmap\apperror\apperror.go|40|return without blank line|return &AppError{
.\gitmap\archive\archive.go|93|return without blank line|return f
.\gitmap\archive\archive.go|107|return without blank line|return f
.\gitmap\archive\archive.go|110|return without blank line|return f
.\gitmap\archive\archive.go|119|return without blank line|return formatExtMap[f]
.\gitmap\archive\archive.go|129|return without blank line|return FormatUnknown, err
.\gitmap\archive\archive.go|135|return without blank line|return FormatFromPath(path), nil
.\gitmap\archive\archive.go|146|return without blank line|return FormatUnknown
.\gitmap\archive\archive.go|149|return without blank line|return res
.\gitmap\archive\archive.go|158|return without blank line|return FormatZip
.\gitmap\archive\archive.go|160|return without blank line|return FormatTar
.\gitmap\archive\archive.go|162|return without blank line|return Format7z
.\gitmap\archive\archive.go|164|return without blank line|return FormatRar
.\gitmap\archive\archive.go|166|return without blank line|return FormatFromPath(f.Extension())
.\gitmap\archive\archive.go|168|return without blank line|return FormatUnknown
.\gitmap\archive\archive.go|174|return without blank line|return FormatGz
.\gitmap\archive\archive.go|176|return without blank line|return FormatBz2
.\gitmap\archive\archive.go|178|return without blank line|return FormatXz
.\gitmap\archive\archive.go|180|return without blank line|return FormatZst
.\gitmap\archive\archive.go|182|return without blank line|return FormatUnknown
.\gitmap\archive\archive_test.go|12|monolithic function|length 16
.\gitmap\archive\archive_test.go|30|monolithic function|length 17
.\gitmap\archive\create.go|62|return without blank line|return FormatUnknown, fmt.Errorf("%w: %q", ErrUnknownFormat, path)
.\gitmap\archive\create.go|65|return without blank line|return FormatUnknown, fmt.Errorf("%s archives are read-only in this build (use zip or tar.*)", format)
.\gitmap\archive\create.go|74|return without blank line|return nil, fmt.Errorf("gather sources: %w", err)
.\gitmap\archive\create.go|82|return without blank line|return nil, err
.\gitmap\archive\create.go|91|return without blank line|return err
.\gitmap\archive\create.go|97|return without blank line|return err
.\gitmap\archive\create.go|110|return without blank line|return res, err
.\gitmap\archive\create.go|116|return without blank line|return res, err
.\gitmap\archive\create.go|121|return without blank line|return res, err
.\gitmap\archive\create.go|130|return without blank line|return "", err
.\gitmap\archive\create.go|134|return without blank line|return base + "/", nil
.\gitmap\archive\create.go|148|return without blank line|return nil, err
